dataset,policy_id,method,seed,round,labeled_count,labeled_ratio,mean_dsc_fg
busi,P7,SAM-Core,3000,5,94,0.1506,0.5649757377616011
busi,P7,SAM-Core,3000,6,125,0.2003,0.6017427230002518
busi,P8,TypiClust,1000,0,8,0.0128,0.2868779249959307
busi,P8,TypiClust,1000,1,13,0.0208,0.3237810543007797
busi,P8,TypiClust,1000,2,25,0.0401,0.4596859462285702
busi,P8,TypiClust,1000,3,44,0.0705,0.5004410021741755
busi,P8,TypiClust,1000,4,63,0.101,0.5207678209077833
busi,P8,TypiClust,1000,5,94,0.1506,0.5431725964362334
busi,P8,TypiClust,1000,6,125,0.2003,0.587606396820814
busi,P8,TypiClust,2000,0,8,0.0128,0.40701145651966625
busi,P8,TypiClust,2000,1,13,0.0208,0.3485789672971695
busi,P8,TypiClust,2000,2,25,0.0401,0.44270111615834273
busi,P8,TypiClust,2000,3,44,0.0705,0.5575928818380019
busi,P8,TypiClust,2000,4,63,0.101,0.492649872435673
busi,P8,TypiClust,2000,5,94,0.1506,0.5452081093007606
busi,P8,TypiClust,2000,6,125,0.2003,0.5170976103808608
busi,P8,TypiClust,3000,0,8,0.0128,0.2040373888903818
busi,P8,TypiClust,3000,1,13,0.0208,0.3011930435575383
busi,P8,TypiClust,3000,2,25,0.0401,0.34693076240922566
busi,P8,TypiClust,3000,3,44,0.0705,0.42485797710330137
busi,P8,TypiClust,3000,4,63,0.101,0.515227599557138
