dataset,policy,seed,round,total_rounds,labeled_count,budget_frac,modality,target,dsc_fg_round,hd95_fg,struct_detect
ext_abdoment1k,P2,1000,3,6,250,0.1,ct,liver,0.6479,,0.9287598944591029
ext_abdoment1k,P2,1000,4,6,375,0.15,ct,liver,0.7352,,0.9815303430079155
ext_abdoment1k,P2,1000,5,6,500,0.2,ct,liver,0.7805,,0.9815303430079155
ext_abdoment1k,P3,1000,0,6,25,0.01,ct,liver,0.4316,,0.9894459102902374
ext_abdoment1k,P3,1000,1,6,50,0.02,ct,liver,0.4609,,0.9868073878627969
ext_abdoment1k,P3,1000,2,6,125,0.05,ct,liver,0.4862,,0.9947229551451188
ext_abdoment1k,P3,1000,3,6,250,0.1,ct,liver,0.6437,,0.978891820580475
ext_abdoment1k,P3,1000,4,6,375,0.15,ct,liver,0.6835,,0.9736147757255936
ext_abdoment1k,P3,1000,5,6,500,0.2,ct,liver,0.718,,0.9762532981530343
ext_abdoment1k,P4,1000,0,6,25,0.01,ct,liver,0.4425,,0.9868073878627969
ext_abdoment1k,P4,1000,1,6,50,0.02,ct,liver,0.5518,,0.9973614775725593
ext_abdoment1k,P4,1000,2,6,125,0.05,ct,liver,0.6504,,0.9683377308707124
ext_abdoment1k,P4,1000,3,6,250,0.1,ct,liver,0.6984,,0.9683377308707124
ext_abdoment1k,P4,1000,4,6,375,0.15,ct,liver,0.7465,,0.9762532981530343
ext_abdoment1k,P4,1000,5,6,500,0.2,ct,liver,0.7759,,0.9868073878627969
ext_abdoment1k,P5,1000,0,6,25,0.01,ct,liver,0.4316,,0.9894459102902374
ext_abdoment1k,P5,1000,1,6,50,0.02,ct,liver,0.5055,,0.9920844327176781
ext_abdoment1k,P5,1000,2,6,125,0.05,ct,liver,0.6018,,0.9709762532981531
ext_abdoment1k,P5,1000,3,6,250,0.1,ct,liver,0.7174,,0.9762532981530343
ext_abdoment1k,P5,1000,4,6,375,0.15,ct,liver,0.7784,,0.9947229551451188
ext_abdoment1k,P5,1000,5,6,500,0.2,ct,liver,0.7664,,0.9762532981530343
ext_abdoment1k,P6,1000,0,6,25,0.01,ct,liver,0.4316,,0.9894459102902374
ext_abdoment1k,P6,1000,1,6,50,0.02,ct,liver,0.5264,,0.941952506596306
ext_abdoment1k,P6,1000,2,6,125,0.05,ct,liver,0.6405,,0.9762532981530343
ext_abdoment1k,P6,1000,3,6,250,0.1,ct,liver,0.7135,,0.9762532981530343
ext_abdoment1k,P6,1000,4,6,375,0.15,ct,liver,0.7311,,0.9920844327176781
ext_abdoment1k,P6,1000,5,6,500,0.2,ct,liver,0.7092,,0.9525065963060686
ext_abdoment1k,P7,1000,0,6,25,0.01,ct,liver,0.4425,,0.9868073878627969
ext_abdoment1k,P7,1000,1,6,50,0.02,ct,liver,0.4867,,0.9815303430079155
ext_abdoment1k,P7,1000,2,6,125,0.05,ct,liver,0.6091,,0.9525065963060686
ext_abdoment1k,P7,1000,3,6,250,0.1,ct,liver,0.6747,,0.9366754617414248
ext_abdoment1k,P7,1000,4,6,375,0.15,ct,liver,0.7733,,0.9947229551451188
ext_abdoment1k,P7,1000,5,6,500,0.2,ct,liver,0.7682,,0.978891820580475
ext_abdoment1k,P8,1000,0,6,25,0.01,ct,liver,0.4425,,0.9868073878627969
ext_abdoment1k,P8,1000,1,6,50,0.02,ct,liver,0.5603,,0.9656992084432717
ext_abdoment1k,P8,1000,2,6,125,0.05,ct,liver,0.7065,,0.9947229551451188
ext_abdoment1k,P8,1000,3,6,250,0.1,ct,liver,0.7585,,0.9841688654353562
ext_abdoment1k,P8,1000,4,6,375,0.15,ct,liver,0.7531,,0.9762532981530343
ext_abdoment1k,P8,1000,5,6,500,0.2,ct,liver,0.794,,0.9868073878627969
ext_abdoment1k,P9,1000,0,6,25,0.01,ct,liver,0.4425,,0.9868073878627969
ext_abdoment1k,P9,1000,1,6,50,0.02,ct,liver,0.5271,,0.9868073878627969
ext_abdoment1k,P9,1000,2,6,125,0.05,ct,liver,0.4256,,0.8232189973614775
ext_abdoment1k,P9,1000,3,6,250,0.1,ct,liver,0.6536,,0.9393139841688655
ext_abdoment1k,P9,1000,4,6,375,0.15,ct,liver,0.7237,,0.9815303430079155
ext_abdoment1k,P9,1000,5,6,500,0.2,ct,liver,0.742,,0.978891820580475
ext_brats2020,P0,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P0,1000,1,6,50,0.02,t1ce,necrotic,0.3598,,1.0
ext_brats2020,P0,1000,2,6,125,0.05,t1ce,necrotic,0.4223,,0.9888888888888889
ext_brats2020,P0,1000,3,6,250,0.1,t1ce,necrotic,0.4206,,0.9444444444444444
ext_brats2020,P0,1000,4,6,375,0.15,t1ce,necrotic,0.4571,,1.0
ext_brats2020,P0,1000,5,6,500,0.2,t1ce,necrotic,0.4473,56.2530825329208,0.9666666666666667
ext_brats2020,P1,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P1,1000,1,6,50,0.02,t1ce,necrotic,0.3582,,1.0
ext_brats2020,P1,1000,2,6,125,0.05,t1ce,necrotic,0.4189,,0.9888888888888889
ext_brats2020,P1,1000,3,6,250,0.1,t1ce,necrotic,0.4695,,0.9777777777777777
ext_brats2020,P1,1000,4,6,375,0.15,t1ce,necrotic,0.4613,,1.0
ext_brats2020,P1,1000,5,6,500,0.2,t1ce,necrotic,0.4992,43.66437225115031,0.9888888888888889
ext_brats2020,P2,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P2,1000,1,6,50,0.02,t1ce,necrotic,0.2774,,0.9444444444444444
ext_brats2020,P2,1000,2,6,125,0.05,t1ce,necrotic,0.3953,,0.9888888888888889
ext_brats2020,P2,1000,3,6,250,0.1,t1ce,necrotic,0.4562,,1.0
ext_brats2020,P2,1000,4,6,375,0.15,t1ce,necrotic,0.448,,1.0
ext_brats2020,P2,1000,5,6,500,0.2,t1ce,necrotic,0.4795,51.31884582195844,0.9666666666666667
ext_brats2020,P3,1000,0,6,25,0.01,t1ce,necrotic,0.2838,,1.0
ext_brats2020,P3,1000,1,6,50,0.02,t1ce,necrotic,0.3465,,1.0
ext_brats2020,P3,1000,2,6,125,0.05,t1ce,necrotic,0.3471,,0.9888888888888889
ext_brats2020,P3,1000,3,6,250,0.1,t1ce,necrotic,0.4041,,0.9777777777777777
ext_brats2020,P3,1000,4,6,375,0.15,t1ce,necrotic,0.4566,,1.0
ext_brats2020,P3,1000,5,6,500,0.2,t1ce,necrotic,0.3709,56.860643615211835,0.9666666666666667
ext_brats2020,P4,1000,0,6,25,0.01,t1ce,necrotic,0.2877,,1.0
ext_brats2020,P4,1000,1,6,50,0.02,t1ce,necrotic,0.3937,,1.0
ext_brats2020,P4,1000,2,6,125,0.05,t1ce,necrotic,0.4004,,0.9888888888888889
ext_brats2020,P4,1000,3,6,250,0.1,t1ce,necrotic,0.4379,,1.0
ext_brats2020,P4,1000,4,6,375,0.15,t1ce,necrotic,0.4472,,0.9444444444444444
ext_brats2020,P4,1000,5,6,500,0.2,t1ce,necrotic,0.4425,41.16383515645832,0.9888888888888889
ext_brats2020,P5,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P5,1000,1,6,50,0.02,t1ce,necrotic,0.3116,,1.0
ext_brats2020,P5,1000,2,6,125,0.05,t1ce,necrotic,0.3962,,0.9888888888888889
ext_brats2020,P5,1000,3,6,250,0.1,t1ce,necrotic,0.4542,,0.9666666666666667
ext_brats2020,P5,1000,4,6,375,0.15,t1ce,necrotic,0.4509,,0.9888888888888889
ext_brats2020,P5,1000,5,6,500,0.2,t1ce,necrotic,0.4802,39.51070952005048,0.9888888888888889
ext_brats2020,P6,1000,0,6,25,0.01,t1ce,necrotic,0.2838,,1.0
ext_brats2020,P6,1000,1,6,50,0.02,t1ce,necrotic,0.2666,,1.0
ext_brats2020,P6,1000,2,6,125,0.05,t1ce,necrotic,0.4012,,0.9888888888888889
ext_brats2020,P6,1000,3,6,250,0.1,t1ce,necrotic,0.4178,,0.9444444444444444
ext_brats2020,P6,1000,4,6,375,0.15,t1ce,necrotic,0.4156,,0.9888888888888889
ext_brats2020,P6,1000,5,6,500,0.2,t1ce,necrotic,0.3606,76.60685005999154,0.9555555555555556
ext_brats2020,P7,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P7,1000,1,6,50,0.02,t1ce,necrotic,0.3738,,0.9888888888888889
ext_brats2020,P7,1000,2,6,125,0.05,t1ce,necrotic,0.4151,,0.9888888888888889
ext_brats2020,P7,1000,3,6,250,0.1,t1ce,necrotic,0.4526,,1.0
ext_brats2020,P7,1000,4,6,375,0.15,t1ce,necrotic,0.4678,,0.9888888888888889
ext_brats2020,P7,1000,5,6,500,0.2,t1ce,necrotic,0.4423,68.57374565573045,0.9555555555555556
ext_brats2020,P8,1000,0,6,25,0.01,t1ce,necrotic,0.3026,,1.0
ext_brats2020,P8,1000,1,6,50,0.02,t1ce,necrotic,0.3818,,1.0
ext_brats2020,P8,1000,2,6,125,0.05,t1ce,necrotic,0.3846,,0.9555555555555556
ext_brats2020,P8,1000,3,6,250,0.1,t1ce,necrotic,0.4461,,0.9888888888888889
ext_brats2020,P8,1000,4,6,375,0.15,t1ce,necrotic,0.3933,,0.9444444444444444
